user_id, title, author, publisher, isbn, language, no_of_exchanges, rating
6FpshRoVke3hae7sgf9SQh,Risk Management and Financial Institutions: Edition 5,John C. Hull,John Wiley & Sons,9781119448099,English,5,3.0
JNnqEarcuFkpM5wasJDGcS,Analysis of Financial Time Series: Edition 3,Ruey S. Tsay,John Wiley & Sons,9781118017098,English,8,5.0
SvbqEjRWxbpDSLxwFjemXP,Intermediate Accounting| 16th Edition: Edition 16,Donald E. Kieso,Wiley Global Education,9781119175148,English,1,4.4
edMVSPFKsqPSH3J8NG9tan,Key Account Plans,Lynette Ryals,Routledge,9781136390654,English,1,0
RBAFZVjrEWSgkh6TEA5chT,Accounting: Tools for Business Decision Making| 6th Edition: Edition 6,Paul D. Kimmel,Wiley Global Education,9781119255253,English,6,5.0
8XYBtKecV7md7HHDLs9g34,Methodological issues in accounting research: Second edition,Zahirul Hoque,Spiramus Press Ltd,9781910151471,English,6,0
WUoEBpKvnphiy2DWKtck6T,Handbook of Corporate Equity Derivatives and Equity Capital Markets,Juan Ramirez,John Wiley & Sons,9781119950776,English,8,5.0
KBPiuKN2GKHF7YNsUbFchR,Survey of Accounting,Paul D. Kimmel,Wiley Global Education,9781119306474,English,3,0
E8wC6EpZkeqhqa8tYWphUw,The Handbook of Convertible Bonds,Jan De Spiegeleer,John Wiley & Sons,9781119978060,English,3,5.0
NddCJA4rAW6DAADFU3rqLJ,The New Wealth Management,Harold Evensky,John Wiley & Sons,9781118036914,English,2,4.0
eX4fhH5WriCjHATBQfApAJ,Ethics in Accounting: A Decision-Making Approach,Gordon Klein,Wiley Global Education,9781118939031,English,0,0
eFYuEB3w9Zyp9etM64RcQW,Cost Reduction Analysis,Steven M. Bragg,John Wiley & Sons,9780470622476,English,1,4.0
jCbe3ZraKFxqFLGWj9jFMp,The Art and Science of Technical Analysis,Adam Grimes,John Wiley & Sons,9781118238141,English,5,4.3
8EjjynvTcMYZJjsByJvi7D,Structured Finance and Insurance: The ART of Managing Capital and Risk,Christopher L. Culp,John Wiley & Sons,9781118160992,English,5,0
mEn8ChVB4k45Btgm8emkMY,Long-Term Secrets to Short-Term Trading,Larry Williams,John Wiley & Sons,9781118184684,English,3,4.4
29aC3w7NLBMPykL2PgRjhX,Corporate Value of Enterprise Risk Management,Sim Segal,John Wiley & Sons,9781118023303,English,8,4.0
MxVUZekefs9VC4ejy7jAUT,Introduction To Derivative Securities| Financial Markets| And Risk Management| An (Second Edition),Robert A Jarrow,World Scientific,9781944659578,English,9,0
LBptSNP8sC3tdAp3FT8AHy,Government and Not-for-Profit Accounting: Concepts and Practices| 7th Edition: Edition 7,Michael H. Granof,Wiley Global Education,9781119175025,English,7,5.0
